source_system,source_code,target_system,target_code,relationship,snomed_ct_code,loinc_code
NAMASTE,NAM001,ICD11_TM2,MG30.00,equivalent,82423001,LP21258-6
NAMASTE,NAM002,ICD11_TM2,8A80,equivalent,37796009,LA18181-4
NAMASTE,NAM003,ICD11_BIO,MD12,equivalent,49727002,LA6576-5
NAMASTE,NAM004,ICD11_BIO,MG22,equivalent,57676002,LA10587-3
NAMASTE,NAM005,ICD11_BIO,MD90,equivalent,68962001,LA9143-4
NAMASTE,NAM006,ICD11_BIO,DA20,equivalent,271807003,LA6705-2
NAMASTE,NAM007,ICD11_BIO,DA21,equivalent,271759003,LA9231-7
NAMASTE,NAM008,ICD11_BIO,MB20,equivalent,74589003,LA9639-4
NAMASTE,NAM009,ICD11_BIO,MB21,equivalent,50920009,LA6575-7
NAMASTE,NAM010,ICD11_BIO,MB22,equivalent,443502000,LA5021-8
NAMASTE,NAM011,ICD11_BIO,ME82,equivalent,25374005,LA27742-5
NAMASTE,NAM012,ICD11_BIO,ME83,equivalent,235919008,LA9347-1
NAMASTE,NAM013,ICD11_BIO,EA80,equivalent,193570009,LA6752-4
NAMASTE,NAM014,ICD11_BIO,CA23,equivalent,72042002,LA19799-3
NAMASTE,NAM015,ICD11_BIO,BA00,equivalent,162864005,LA9623-8
